,provider,id,Full_Formula,formula,space_group,a_lattice_param,b_lattice_param,c_lattice_param,aplha_degree,beta_degree,gamma_degree,pbc,sits,volume,species_at_sites,is_stable,is_magnetic,formation_energy,energy_above_hull,band_gap
1321,mp,mp-760386.cif,Cs1 Cl1 O3,CsClO3,R3m,4.790057835492177,4.790057835492177,4.790058042477565,85.84492340793757,85.84492340793757,85.8449336338168,"(True, True, True)","[PeriodicSite: Cs (7.301, 0.0, 4.647) [0.9749, 0.9749, 0.9749], PeriodicSite: Cl (3.667, 0.0, 2.334) [0.4897, 0.4897, 0.4897], PeriodicSite: O (4.518, -1.211, 2.047) [0.8007, 0.4294, 0.4294], PeriodicSite: O (4.518, 1.211, 2.047) [0.4294, 0.8007, 0.4294], PeriodicSite: O (3.392, 0.0, 3.816) [0.4294, 0.4294, 0.8007]]",109.0794275572189,"[Element Cs, Element Cl, Element O, Element O, Element O]",False,False,-1.1543297288362069,0.06744734062500068,5.465800000000001
1322,mp,mp-865758.cif,Yb1 Ge1 O3,YbGeO3,Pm-3m,3.68400143,3.68400143,3.68400143,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Yb (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: Ge (1.842, 1.842, 1.842) [0.5, 0.5, 0.5], PeriodicSite: O (1.842, 1.842, 0.0) [0.5, 0.5, 0.0], PeriodicSite: O (1.842, 0.0, 1.842) [0.5, 0.0, 0.5], PeriodicSite: O (0.0, 1.842, 1.842) [0.0, 0.5, 0.5]]",49.99877572728484,"[Element Yb, Element Ge, Element O, Element O, Element O]",True,False,-2.7659862942499998,0.0,1.0156999999999998
1323,mp,mp-22364.cif,Cr1 Pb1 O3,CrPbO3,Pm-3m,3.917057,3.917057,3.917057,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Cr (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: Pb (1.959, 1.959, 1.959) [0.5, 0.5, 0.5], PeriodicSite: O (0.0, 0.0, 1.959) [0.0, 0.0, 0.5], PeriodicSite: O (0.0, 1.959, 0.0) [0.0, 0.5, 0.0], PeriodicSite: O (1.959, 0.0, 0.0) [0.5, 0.0, 0.0]]",60.100719885198174,"[Element Cr, Element Pb, Element O, Element O, Element O]",False,True,-1.7387665652500004,0.15658225600001163,0.0
1324,mp,mp-29242.cif,Ba3 Pb1 O1,Ba3PbO,Pm-3m,5.52184574,5.52184574,5.52184574,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Ba (2.761, 0.0, 2.761) [0.5, -0.0, 0.5], PeriodicSite: Ba (0.0, 2.761, 2.761) [-0.0, 0.5, 0.5], PeriodicSite: Ba (2.761, 2.761, 0.0) [0.5, 0.5, -0.0], PeriodicSite: Pb (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: O (2.761, 2.761, 2.761) [0.5, 0.5, 0.5]]",168.36538573045777,"[Element Ba, Element Ba, Element Ba, Element Pb, Element O]",True,False,-1.4926419857500002,0.0,0.0
1325,mp,mp-1228834.cif,Cs1 Hg1 Cl3,CsHgCl3,R3m,5.4002117988976135,5.4002117988976135,5.4002118085986215,89.83657628544536,89.83657628544536,89.83658393746161,"(True, True, True)","[PeriodicSite: Cs (0.06789, 0.0, 0.0478) [0.008852, 0.008852, 0.008852], PeriodicSite: Hg (3.975, 0.0, 2.799) [0.5182, 0.5182, 0.5182], PeriodicSite: Cl (2.054, 1.905, 2.791) [0.01731, 0.5168, 0.5168], PeriodicSite: Cl (3.953, 0.0, 0.09347) [0.5168, 0.5168, 0.01731], PeriodicSite: Cl (2.054, -1.905, 2.791) [0.5168, 0.01731, 0.5168]]",157.4806110833571,"[Element Cs, Element Hg, Element Cl, Element Cl, Element Cl]",False,False,-1.522743950586207,0.03399767933332276,0.0
1326,mp,mp-998201.cif,Rb1 Ag1 Cl3,RbAgCl3,Pm,5.165475,5.167096,5.16928314922253,89.93675529568517,90.0,90.0,"(True, True, True)","[PeriodicSite: Rb (0.0, 5.172, 5.143) [0.0, 0.9999, 0.995], PeriodicSite: Ag (2.583, 2.604, 2.51) [0.5, 0.5033, 0.4856], PeriodicSite: Cl (0.0, 2.615, 2.51) [0.0, 0.5055, 0.4855], PeriodicSite: Cl (2.583, 2.579, 5.095) [0.5, 0.498, 0.9856], PeriodicSite: Cl (2.583, 0.01963, 2.524) [0.5, 0.00326, 0.4883]]",137.97069477505036,"[Element Rb, Element Ag, Element Cl, Element Cl, Element Cl]",True,False,-1.4208789488333333,0.0,0.0
1327,mp,mp-995191.cif,Ba1 Ti1 O3,BaTiO3,Amm2,4.120883055355976,4.120883055355976,5.032511,90.0,90.0,90.40670806176456,"(True, True, True)","[PeriodicSite: Ba (2.904, 2.905, 0.0) [0.003352, 0.9966, 0.0], PeriodicSite: Ti (2.904, -0.05262, 2.516) [0.509, 0.491, 0.5], PeriodicSite: O (2.904, -2.868, 2.516) [0.9903, 0.00967, 0.5], PeriodicSite: O (1.455, -1.393, 2.516) [0.4888, 0.01231, 0.5], PeriodicSite: O (4.352, -1.393, 2.516) [0.9877, 0.5112, 0.5]]",85.45832403722468,"[Element Ba, Element Ti, Element O, Element O, Element O]",False,False,-1.6863858119166673,1.8066145519999992,0.0
1328,mp,mp-7114.cif,Ho3 Sn1 C1,Ho3SnC,Pm-3m,5.57875,5.57875,5.57875,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Ho (2.789, 0.0, 2.789) [0.5, 0.0, 0.5], PeriodicSite: Ho (2.789, 2.789, 0.0) [0.5, 0.5, 0.0], PeriodicSite: Ho (0.0, 2.789, 2.789) [0.0, 0.5, 0.5], PeriodicSite: Sn (2.789, 2.789, 2.789) [0.5, 0.5, 0.5], PeriodicSite: C (0.0, 0.0, 0.0) [0.0, 0.0, 0.0]]",173.6243766542969,"[Element Ho, Element Ho, Element Ho, Element Sn, Element C]",False,False,1.4718745794999997,2.0006568153333335,0.0
1329,mp,mp-632808.cif,Ba1 Li1 H3,BaLiH3,Pm-3m,5.065786,5.065786,5.065786,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Ba (2.533, 2.533, 2.533) [0.5, 0.5, 0.5], PeriodicSite: Li (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: H (0.0, 2.533, 2.533) [0.0, 0.5, 0.5], PeriodicSite: H (2.533, 2.533, 0.0) [0.5, 0.5, 0.0], PeriodicSite: H (2.533, 0.0, 2.533) [0.5, 0.0, 0.5]]",129.99915167544583,"[Element Ba, Element Li, Element H, Element H, Element H]",False,False,0.009631674333333251,0.6205879219999999,1.1987
1330,mp,mp-675022.cif,Cs1 Pb1 Cl3,CsPbCl3,R32,5.676943642575174,5.676943642575174,5.676942959092829,89.68499391794262,89.68499391794262,89.68498376703421,"(True, True, True)","[PeriodicSite: Cs (4.056, 0.0, 2.825) [0.5, 0.5, 0.5], PeriodicSite: Pb (0.0, 0.0, 0.0) [-0.0, 0.0, -0.0], PeriodicSite: Cl (5.964, -1.927, 0.08629) [0.9814, 0.5, 0.0186], PeriodicSite: Cl (2.149, -1.927, 5.564) [0.5, 0.0186, 0.9814], PeriodicSite: Cl (4.056, 3.854, 2.825) [0.0186, 0.9814, 0.5]]",182.94648775297858,"[Element Cs, Element Pb, Element Cl, Element Cl, Element Cl]",False,False,-1.8775600395862064,0.011752994999993494,2.6799
1331,mp,mp-12572.cif,Ca1 Pd3 C1,CaPd3C,Pm-3m,4.281632,4.281632,4.281632,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Ca (0.0, 0.0, 0.0) [0.0, 0.0, 0.0], PeriodicSite: Pd (0.0, 2.141, 2.141) [0.0, 0.5, 0.5], PeriodicSite: Pd (2.141, 2.141, 0.0) [0.5, 0.5, 0.0], PeriodicSite: Pd (2.141, 0.0, 2.141) [0.5, 0.0, 0.5], PeriodicSite: C (2.141, 2.141, 2.141) [0.5, 0.5, 0.5]]",78.49247308911087,"[Element Ca, Element Pd, Element Pd, Element Pd, Element C]",False,False,-0.1935437075000003,0.23097491449999907,0.0
1332,mp,mp-998234.cif,Cs1 Tl1 F3,CsTlF3,R3m,4.782049794379184,4.782049794379184,4.782049490054343,90.08065735665942,90.08065735665942,90.08065485686507,"(True, True, True)","[PeriodicSite: Cs (0.364, 0.0, 0.2579) [0.05393, 0.05393, 0.05393], PeriodicSite: Tl (3.693, 0.0, 2.617) [0.5472, 0.5472, 0.5472], PeriodicSite: F (1.987, 1.681, 2.598) [0.0465, 0.5432, 0.5432], PeriodicSite: F (3.67, 0.0, 0.2224) [0.5432, 0.5432, 0.0465], PeriodicSite: F (1.987, -1.681, 2.598) [0.5432, 0.0465, 0.5432]]",109.35558349863894,"[Element Cs, Element Tl, Element F, Element F, Element F]",False,False,-2.4520765917528733,0.0648219439999993,0.0
1333,mp,mp-1245828.cif,Ce3 Sn1 N1,Ce3SnN,Pm-3m,5.878219,5.878219,5.878219,90.0,90.0,90.0,"(True, True, True)","[PeriodicSite: Ce (2.939, 2.939, 0.0) [0.5, 0.5, 0.0], PeriodicSite: Ce (0.0, 2.939, 2.939) [0.0, 0.5, 0.5], PeriodicSite: Ce (2.939, 0.0, 2.939) [0.5, 0.0, 0.5], PeriodicSite: Sn (2.939, 2.939, 2.939) [0.5, 0.5, 0.5], PeriodicSite: N (0.0, 0.0, 0.0) [0.0, 0.0, 0.0]]",203.11279692854276,"[Element Ce, Element Ce, Element Ce, Element Sn, Element N]",False,True,1.2825570450000001,2.331925607999999,0.0
